"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7959","TC-EVENT-HL-001: Search → event card → Jump To Highlight → click moment","ui","2026-06-09","passed","2026-06-09","Event Highlights","../ui/event-highlights.spec.ts","",""
"","20202","TC-PLAYER-005: Premium Required — subscription overlay OR player (depending on user plan)","ui","2026-06-09","passed","2026-06-09","Video Player","../ui/player.spec.ts","",""
"","213","GET /me exposes a boolean clipCutterAccess (admin)","api","2026-06-09","passed","2026-06-09","Me DTO — clipCutterAccess","../api/me-clip-cutter.spec.ts","",""
"","27557","TC-VOD-001: typing in the search bar returns results (or empty state)","ui","2026-06-09","passed","2026-06-09","VOD / Search","../ui/vod.spec.ts","",""
"","2771","TC-CONTACT-003: submit disabled until email + category + issue set","ui","2026-06-09","passed","2026-06-09","Contact Support","../ui/contact.spec.ts","",""
"","2492","TC-FOOTER-001: footer nav + Watch/Support links + legal bar","ui","2026-06-09","passed","2026-06-09","Footer (design system)","../ui/footer.spec.ts","",""
"","473","POST /search and GET /global-search — admin Bearer still does not return test events","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","1288","regular user does not see test events in the list","api","2026-06-09","passed","2026-06-09","GET /platform/events","../api/events.spec.ts","",""
"","20193","TC-PLAYER-006: Geo Blocked — NotAvailableOverlay for geo-restricted event","ui","2026-06-09","passed","2026-06-09","Video Player","../ui/player.spec.ts","",""
"","27506","TC-VOD-006: sort Name A–Z ↔ Z–A","ui","2026-06-09","passed","2026-06-09","VOD / Search","../ui/vod.spec.ts","",""
"","26629","TC-VOD-008: filter by a date-range preset","ui","2026-06-09","passed","2026-06-09","VOD / Search","../ui/vod.spec.ts","",""
"","437","Filters LIVE / UPCOMING — regular views never include the test event id","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","213","GET /me exposes a boolean clipCutterAccess (regular)","api","2026-06-09","passed","2026-06-09","Me DTO — clipCutterAccess","../api/me-clip-cutter.spec.ts","",""
"","7163","Home — admin sees the test event card (highlighted); regular does not","ui","2026-06-09","passed","2026-06-09","Test events visibility (UI)","../ui/test-events-visibility.spec.ts","",""
"","202","Security: unauthenticated GET /platform/events/:id for test event → 404","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","27389","TC-VOD-005: sort Newest ↔ Oldest","ui","2026-06-09","passed","2026-06-09","VOD / Search","../ui/vod.spec.ts","",""
"","26933","TC-VOD-004: opening an event runs the access check","ui","2026-06-09","passed","2026-06-09","VOD / Search","../ui/vod.spec.ts","",""
"","20690","TC-PLAYER-004: Controls visible on hover, hide after timeout","ui","2026-06-09","passed","2026-06-09","Video Player","../ui/player.spec.ts","",""
"","85","TC-REGISTR-001: sign up, verify OTP, skip preferences → home","ui","2026-06-09","skipped","2026-06-09","Sign Up","../auth/sign-up.spec.ts","",""
"","6082","TC-NAV-001: primary nav routes between Home, Demand and Schedule","ui","2026-06-09","passed","2026-06-09","Search & navigation redesign","../ui/search.spec.ts","",""
"","1519","admin sees test events in the list","api","2026-06-09","passed","2026-06-09","GET /platform/events","../api/events.spec.ts","",""
"","218","Security: regular + test event id → 404 (not 403)","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","451","GET /platform/events/:id/moments — admin returns 200; regular has no moments (empty) or 404","api","2026-06-09","passed","2026-06-09","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","3550","Event detail — regular: test event URL shows 404 page","ui","2026-06-09","passed","2026-06-09","Test events visibility (UI)","../ui/test-events-visibility.spec.ts","",""
"","2375","TC-FAQ-003: deep-link #slug opens the targeted item","ui","2026-06-09","passed","2026-06-09","FAQ","../ui/faq.spec.ts","",""
"","6954","TC-SEARCH-001: /search renders the On Demand hero + search box","ui","2026-06-09","passed","2026-06-09","Search & navigation redesign","../ui/search.spec.ts","",""
"","7228","TC-HOME-BAN-002: link banner ""Learn more"" opens the URL in a new tab","ui","2026-06-09","passed","2026-06-09","Home Screen Banners","../ui/home-banners.spec.ts","",""
"","4377","Event detail — admin: banner, robots meta, player shell","ui","2026-06-09","passed","2026-06-09","Test events visibility (UI)","../ui/test-events-visibility.spec.ts","",""
